  bash arg: -p
  bash arg: com.ufotosoft.justshot
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=48ms (0ms mobile, 0ms wifi, 48ms not connected)
Starting up the app... You have 5sec to configure it.
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,205,7.9,54725904,47649544,7076360,13,24816,3667664,85000,946108,1077952832,1449,431,0,0,10,275,1540,66568
2,11367,164,7.1,54725904,47645340,7080564,13,24816,3667664,226440,1075828,1077952832,1889,490,0,0,10,282,1540,68104
3,14412,135,7.5,54725904,47640580,7085324,13,24816,3667664,130400,1071408,1077952832,2310,546,0,0,10,286,1540,68487
4,17463,147,6.3,54725904,47640140,7085764,13,24816,3667664,92872,997544,1077952832,2671,579,0,0,10,281,1540,54751
5,20552,135,5.6,54725904,47639756,7086148,13,24816,3667664,105120,1011000,4211008,3039,606,0,0,10,273,1540,51089
6,23412,130,5.3,54725904,47639508,7086396,13,24816,3667664,120284,1058496,1077952832,3414,646,0,0,10,261,1540,48482
7,26446,143,4.5,54725904,47639392,7086512,13,24816,3667664,137080,1156620,1077952832,3806,670,0,0,10,260,1540,41093
8,29354,145,4.3,54725904,47634736,7091168,13,24816,3667664,136416,1171856,1077952832,4209,697,0,0,10,253,1540,40175
9,32294,163,4.2,54725904,47634508,7091396,13,24816,3667664,118128,1135460,1077952832,4587,736,0,0,10,253,1540,39333
10,35241,122,4.2,54725904,47634488,7091416,13,24816,3667664,139072,1142480,1077952832,4964,759,0,0,10,252,1540,39686
11,38153,158,4.2,54725904,47606396,7119508,14,24816,3667664,136604,1203312,1077952832,5331,792,0,0,10,252,1540,38575
12,41003,128,4.1,54725904,47606056,7119848,14,24816,3667664,146560,1206796,1077952832,5700,817,0,0,10,252,1540,37796
13,44031,143,4.0,54725904,47606012,7119892,14,24816,3667664,138028,1205128,4211008,6091,848,0,0,10,252,1540,36985
14,46898,146,3.8,54725904,47605972,7119932,14,24816,3667664,106848,1094056,1077952832,6499,876,0,0,10,249,1540,35194
15,49894,141,3.6,54725904,47561676,7164228,14,24816,3667664,169484,1154964,4211008,6893,910,0,0,10,249,1540,30820
16,52881,148,3.3,54725904,47561588,7164316,14,24816,3667664,120500,1118236,1077952832,7281,944,0,0,10,249,1540,30864
