RECORD,T1,T2,T3,T4,T5,AVG,CPU_EWMA,T1,T2,T3,T4,T5,AVG,MEM_EWMA
1,140,133,143,202,168,157.2,157.2,5.5,7.6,7.7,7,7.4,7.04,7.04
2,113,154,145,169,153,146.8,146.8,5.8,8,6.5,8.2,7.8,7.26,7.26
3,136,148,143,135,156,143.6,143.6,5.6,6.9,6.1,6.2,7,6.36,6.36
4,133,147,133,143,146,140.4,140.4,4.7,6.1,5.2,5.8,7,5.76,5.76
5,146,148,161,158,156,153.8,153.8,4.9,5.3,4.8,5.9,7.2,5.62,5.62
6,156,151,176,142,153,155.6,155.6,5,4.7,4.7,5.9,7.2,5.5,5.5
7,143,145,148,153,156,149,149,5,4.3,4.8,5.8,7.2,5.42,5.42
8,136,151,145,125,156,142.6,142.6,5,4,4.7,5.7,7.2,5.32,5.32
9,143,143,132,145,156,143.8,143.8,5.1,4,4.6,5.3,7.3,5.26,5.26
10,141,138,137,158,156,146,146,5.1,3.9,4.4,5.2,7.3,5.18,5.18
11,146,140,143,132,154,143,143,5.1,3.7,4.5,4.5,7.3,5.02,5.02
12,146,158,148,156,150,151.6,151.6,5.2,3.5,4.5,4.5,7.3,5,5
13,146,137,148,168,159,151.6,151.6,5.2,3.4,4.5,4.5,7.5,5.02,5.02
14,136,150,151,136,159,146.4,146.4,5.3,3.2,4.6,4.7,7.6,5.08,5.08
15,146,112,143,148,153,140.4,140.4,5.3,3,4.6,4.7,7.6,5.04,5.04
16,153,142,154,148,166,152.6,152.6,5.2,2.9,4.4,4.7,7.6,4.96,4.96
17,156,102,154,145,156,142.6,142.6,5.3,2.9,4.4,4.7,7.6,4.98,4.98
18,146,147,134,150,159,147.2,147.2,5.3,2.9,4.5,4.7,7.6,5,5
19,146,151,148,164,156,153,153,5.3,3,4.6,4.1,7.7,4.94,4.94
20,146,154,182,162,162,161.2,161.2,5.5,3,4.7,4.2,7.7,5.02,5.02
21,145,150,156,150,153,150.8,150.8,5.6,3,4.6,4.3,7.7,5.04,5.04
22,132,145,153,147,153,146,146,5.6,3,4.4,4.2,7.7,4.98,4.98
23,146,145,150,145,156,148.4,148.4,5.6,2.9,4.4,4.2,7.8,4.98,4.98
24,148,150,158,158,159,154.6,154.6,5.6,2.9,4.4,4,7.8,4.94,4.94
25,146,148,146,165,145,150,150,5.6,2.8,4.5,4,7.9,4.96,4.96
26,180,154,162,162,150,161.6,161.6,5.9,2.7,4.5,4,7.9,5,5
27,146,134,150,153,161,148.8,148.8,5.2,2.7,4,4.1,7.2,4.64,4.64
28,150,148,159,160,153,154,154,5.3,2.7,4,4.1,7.3,4.68,4.68
29,153,161,153,153,150,154,154,5.3,2.7,4.1,4.1,7.3,4.7,4.7
30,140,146,156,162,156,152,152,5.3,2.7,4.1,4.1,7.3,4.7,4.7
31,146,158,168,142,146,152,152,5.3,2.7,4.1,4.2,7.3,4.72,4.72
32,143,154,160,159,156,154.4,154.4,5.4,2.7,4.1,4.2,7.3,4.74,4.74
33,145,161,157,160,156,155.8,155.8,5.3,2.7,4.2,4.2,7.3,4.74,4.74
34,141,158,163,160,153,155,155,5.4,2.7,4.2,4.3,7.3,4.78,4.78
35,153,162,163,154,159,158.2,158.2,5.4,2.7,4.2,4.3,7.4,4.8,4.8
36,153,156,160,154,156,155.8,155.8,5.4,2.7,4.2,4.3,7.4,4.8,4.8
37,146,168,148,154,147,152.6,152.6,5.5,2.7,4.2,4.3,7.4,4.82,4.82
38,156,157,154,163,150,156,156,5.5,2.7,4.3,4.3,7.4,4.84,4.84
39,153,165,175,145,160,159.6,159.6,6.1,2.8,4.3,4.3,7.5,5,5
40,163,138,160,162,163,157.2,157.2,6.2,2.8,4.2,4.4,7.5,5.02,5.02
41,135,163,154,169,168,157.8,157.8,6.2,2.8,4.2,4.4,7.5,5.02,5.02
42,150,166,159,163,168,161.2,161.2,6.2,2.8,4.4,4.4,7.5,5.06,5.06
43,156,160,166,160,151,158.6,158.6,6.2,2.8,4.4,4.4,7.5,5.06,5.06
44,146,154,160,145,169,154.8,154.8,6.3,2.8,4.4,4.5,7.5,5.1,5.1
45,146,163,163,154,163,157.8,157.8,6.3,3,4.4,4.5,7.5,5.14,5.14
46,150,154,160,160,168,158.4,158.4,6.3,3,4.4,4.5,7.5,5.14,5.14
47,146,160,163,154,163,157.2,157.2,5.6,3,4.4,4.6,7.6,5.04,5.04
48,150,148,155,142,142,147.4,147.4,5.6,3,4.5,4.6,7.6,5.06,5.06
49,153,166,160,166,157,160.4,160.4,5.6,3,4.5,4.1,7.6,4.96,4.96
50,150,166,160,166,166,161.6,161.6,5.7,3.1,4.6,4.1,7.6,5.02,5.02
51,145,154,160,160,160,155.8,155.8,5.7,3.1,4.6,4.1,7.7,5.04,5.04
52,156,160,157,148,162,156.6,156.6,5.7,3.1,4.6,4.1,7.7,5.04,5.04
53,156,157,154,163,154,156.8,156.8,5.7,3.2,4.1,4.1,7,4.82,4.82
54,146,159,157,163,153,155.6,155.6,5.6,3.2,4.1,4.2,7,4.82,4.82
55,153,155,154,160,166,157.6,157.6,5.6,3.2,4.1,4.2,7,4.82,4.82
56,156,163,155,160,168,160.4,160.4,5.6,2.7,4.1,4.2,7,4.72,4.72
57,153,151,151,163,168,157.2,157.2,5.8,2.7,4.1,4.2,7.3,4.82,4.82
58,148,163,169,156,150,157.2,157.2,5.8,2.7,4.1,4.2,7.4,4.84,4.84
59,160,163,163,145,160,158.2,158.2,5.8,2.7,4.1,4.2,7.4,4.84,4.84
