RECORD,T1,T2,T3,T4,T5,AVG,CPU_EWMA,T1,T2,T3,T4,T5,AVG,MEM_EWMA
1,154,109,311,133,327,206.8,206.8,8.1,8,9,7.8,6.8,7.94,7.94
2,145,185,185,144,162,164.2,164.2,6.3,6.5,6.8,6.3,7.5,6.68,6.68
3,148,150,155,164,151,153.6,153.6,5.8,5.4,6.9,5.7,7.5,6.26,6.26
4,129,134,127,185,112,137.4,137.4,5.7,4.8,7,5.8,7.1,6.08,6.08
5,141,128,129,141,160,139.8,139.8,5.2,4.8,5.7,4.5,6.1,5.26,5.26
6,146,146,134,141,125,138.4,138.4,5.3,4.8,5.1,4.5,5.8,5.1,5.1
7,153,151,139,136,137,143.2,143.2,5,3.9,4.8,4,5.6,4.66,4.66
8,140,148,142,141,153,144.8,144.8,4.9,3.9,4,3.9,5.6,4.46,4.46
9,150,129,135,142,156,142.4,142.4,4.8,3.9,3.7,3.7,5.6,4.34,4.34
10,140,134,156,164,150,148.8,148.8,4.8,3.9,3.7,3.6,5.6,4.32,4.32
11,158,153,147,147,141,149.2,149.2,4.9,3.8,3.7,3.6,5.6,4.32,4.32
12,161,148,137,115,180,148.2,148.2,4.6,3.8,3.7,3.6,5.5,4.24,4.24
13,145,120,143,145,145,139.6,139.6,4.6,3.7,3.7,3.6,5,4.12,4.12
14,154,145,153,171,158,156.2,156.2,4.7,3.7,3.7,3.6,5.1,4.16,4.16
15,142,135,153,142,136,141.6,141.6,4.6,3.7,3.6,3.2,5.1,4.04,4.04
16,136,156,118,140,150,140,140,4.6,3.7,3.3,3.1,4.9,3.92,3.92
17,167,158,130,107,148,142,142,4.6,3.7,3.1,3,4.8,3.84,3.84
18,136,154,158,137,137,144.4,144.4,4.5,3.7,3.1,2.8,4.8,3.78,3.78
19,140,161,126,120,163,142,142,4.6,3.8,3.1,2.9,4.8,3.84,3.84
20,140,148,146,145,137,143.2,143.2,4.7,3.8,3.1,2.9,4.9,3.88,3.88
21,137,156,158,138,144,146.6,146.6,4.6,3.7,3.1,2.9,5,3.86,3.86
22,139,153,153,153,136,146.8,146.8,4.6,3.7,3,2.9,4.9,3.82,3.82
23,162,142,153,150,162,153.8,153.8,4.7,3.9,3,2.9,5.1,3.92,3.92
24,159,140,154,143,146,148.4,148.4,4.7,4,3,2.8,5.5,4,4
25,150,138,162,160,150,152,152,4.7,4,2.9,2.8,5.5,3.98,3.98
26,162,139,144,155,158,151.6,151.6,5.2,4.1,2.9,2.8,5.5,4.1,4.1
27,165,164,147,142,150,153.6,153.6,5.4,3.8,2.9,2.8,5.5,4.08,4.08
28,159,148,154,135,151,149.4,149.4,5.4,3.8,2.9,2.8,5.5,4.08,4.08
29,153,153,164,144,153,153.4,153.4,5.3,3.7,2.9,2.8,5.5,4.04,4.04
30,166,143,130,153,150,148.4,148.4,4.7,3.7,2.9,2.8,5.5,3.92,3.92
31,169,153,154,157,151,156.8,156.8,4.8,3.7,2.9,2.8,5.5,3.94,3.94
32,169,153,154,159,148,156.6,156.6,4.8,3.7,2.9,2.8,4.9,3.82,3.82
33,152,146,150,159,148,151,151,4.9,3.7,2.9,2.8,5,3.86,3.86
34,173,156,148,165,143,157,157,5.1,3.7,2.8,2.8,5,3.88,3.88
35,169,154,154,156,145,155.6,155.6,5.1,3.7,2.8,2.8,5,3.88,3.88
36,166,159,143,156,160,156.8,156.8,5.1,3.7,2.8,2.8,5,3.88,3.88
37,151,156,145,159,154,153,153,5.7,3.7,2.8,2.8,5,4,4
38,158,151,156,160,151,155.2,155.2,5.8,3.7,2.8,2.8,5.2,4.06,4.06
39,160,162,148,166,153,157.8,157.8,5.8,3.7,2.8,2.8,5.2,4.06,4.06
40,154,156,151,163,154,155.6,155.6,5.8,3.5,2.8,2.8,5.2,4.02,4.02
41,154,153,151,151,141,150,150,5.9,3.5,2.8,2.8,5.2,4.04,4.04
42,151,150,151,166,145,152.6,152.6,5.9,3.5,2.8,2.8,5.2,4.04,4.04
43,163,163,148,165,150,157.8,157.8,5.9,3.5,2.8,2.8,5.2,4.04,4.04
44,157,160,141,160,143,152.2,152.2,5.9,3.5,2.8,2.8,5.2,4.04,4.04
45,160,145,145,154,151,151,151,5.9,3.5,2.8,2.8,5.3,4.06,4.06
46,154,166,151,151,160,156.4,156.4,5.9,3.4,2.8,2.8,5.3,4.04,4.04
47,160,160,151,160,148,155.8,155.8,6,3.5,2.8,2.8,5.3,4.08,4.08
48,166,154,150,169,156,159,159,6,3.5,2.8,2.8,5.3,4.08,4.08
49,160,133,154,160,141,149.6,149.6,6,3.5,2.8,2.8,5.3,4.08,4.08
50,148,166,151,144,163,154.4,154.4,6.1,3.5,2.8,2.8,5.4,4.12,4.12
51,151,166,156,163,141,155.4,155.4,6.1,3.4,2.8,2.8,5.4,4.1,4.1
52,160,160,151,160,145,155.2,155.2,6.1,3.4,2.8,2.8,5.4,4.1,4.1
53,165,151,148,166,148,155.6,155.6,5.4,3.4,2.8,2.8,5.5,3.98,3.98
54,163,163,153,147,145,154.2,154.2,5.5,3.4,2.9,2.8,5.6,4.04,4.04
55,161,156,146,169,148,156,156,5.5,3.4,2.9,2.8,4.9,3.9,3.9
56,160,151,151,163,141,153.2,153.2,5.5,3.4,2.9,2.8,5,3.92,3.92
57,163,175,145,154,145,156.4,156.4,5.5,3.4,2.9,2.8,5,3.92,3.92
58,151,155,161,153,151,154.2,154.2,5.5,3.4,2.9,2.8,5,3.92,3.92
59,145,166,138,,145,148.5,148.5,5.5,3.4,2.9,,5,4.2,4.2
