RECORD,T1,T2,T3,T4,T5,AVG,CPU_EWMA,T1,T2,T3,T4,T5,AVG,MEM_EWMA
1,153,103,136,144,186,144.4,144.4,7.4,8,7,6.5,6.6,7.1,7.1
2,153,167,157,172,146,159,159,7.7,6.6,6.8,5.6,6.9,6.72,6.72
3,171,135,142,150,160,151.6,151.6,7.8,6,6.9,5.7,6.2,6.52,6.52
4,151,145,112,146,150,140.8,140.8,7.9,4.8,7,5.2,6.2,6.22,6.22
5,158,163,155,145,143,152.8,152.8,8.1,4.7,7.1,5,6.3,6.24,6.24
6,161,124,145,139,150,143.8,143.8,8.1,4.8,7.1,4.6,6.5,6.22,6.22
7,151,146,144,133,154,145.6,145.6,7.5,4.2,7.2,4.2,6.5,5.92,5.92
8,148,150,160,132,153,148.6,148.6,7.5,4.1,7.3,4.1,6.6,5.92,5.92
9,133,111,154,148,145,138.2,138.2,7.6,3.9,7.3,4,6.6,5.88,5.88
10,154,143,151,134,133,143,143,7.6,3.9,6.7,4,6.6,5.76,5.76
11,158,132,154,158,153,151,151,7.6,3.9,6.7,4,6.6,5.76,5.76
12,139,150,160,144,150,148.6,148.6,7.6,3.7,6.8,4,6.7,5.76,5.76
13,151,112,157,161,153,146.8,146.8,7.7,3.7,6.8,4,6.7,5.78,5.78
14,145,138,151,154,146,146.8,146.8,7.7,3.7,6.8,4,6.8,5.8,5.8
15,148,140,172,148,143,150.2,150.2,7.7,3.7,6.9,4,6.8,5.82,5.82
16,151,140,163,151,153,151.6,151.6,7.7,3.7,6.9,4,6.8,5.82,5.82
17,151,153,157,150,140,150.2,150.2,7.7,3.7,6.9,4,6.9,5.84,5.84
18,153,153,147,158,146,151.4,151.4,7.8,3.7,6.9,4,6.9,5.86,5.86
19,154,137,151,137,148,145.4,145.4,7.9,3.7,7,4,7,5.92,5.92
20,148,141,154,141,131,143,143,8,3.7,7.1,4,7,5.96,5.96
21,158,143,163,150,138,150.4,150.4,8,3.6,7.6,4,7,6.04,6.04
22,161,162,157,144,150,154.8,154.8,8.1,3.6,7.7,4,7,6.08,6.08
23,156,141,163,136,143,147.8,147.8,8.1,3.6,7.7,4,7.1,6.1,6.1
24,161,156,154,165,143,155.8,155.8,8.1,3.6,7.7,4,7.1,6.1,6.1
25,148,129,160,146,140,144.6,144.6,8.1,3.6,7.7,4,7.1,6.1,6.1
26,158,124,160,162,160,152.8,152.8,8.1,3.6,7.7,4,7.1,6.1,6.1
27,156,164,154,165,156,159,159,8.1,3.5,7.7,4,7.1,6.08,6.08
28,164,145,157,157,153,155.2,155.2,8.1,3.3,7.7,4,6.4,5.9,5.9
29,148,156,145,150,146,149,149,8.2,3.1,7.7,4,6.4,5.88,5.88
30,156,140,175,163,141,155,155,7.5,3.1,7.7,4,6.6,5.78,5.78
31,159,154,158,157,146,154.8,154.8,7.7,3.1,7.1,4,6.6,5.7,5.7
32,156,150,155,161,153,155,155,7.7,3.1,7.1,4,6.6,5.7,5.7
33,165,158,157,148,151,155.8,155.8,7.7,3.1,7.1,4,6.6,5.7,5.7
34,162,151,160,160,150,156.6,156.6,7.7,3.1,7.1,4,6.7,5.72,5.72
35,156,161,160,184,153,162.8,162.8,7.8,3.4,7.2,4.1,6.7,5.84,5.84
36,153,151,151,166,153,154.8,154.8,7.8,3.4,7.2,4.1,6.7,5.84,5.84
37,141,156,160,148,150,151,151,7.8,3.5,7.2,4.1,6.7,5.86,5.86
38,157,159,160,157,148,156.2,156.2,7.8,3.5,7.2,4.1,6.7,5.86,5.86
39,157,150,169,157,160,158.6,158.6,7.8,3.5,7.2,4.1,6.7,5.86,5.86
40,160,165,148,148,158,155.8,155.8,7.9,3.5,7.3,4.1,6.8,5.92,5.92
41,178,154,154,148,151,157,157,7.9,3.5,7.4,4.1,6.9,5.96,5.96
42,148,168,166,160,141,156.6,156.6,7.9,3.5,7.4,4.1,6.9,5.96,5.96
43,165,157,163,155,158,159.6,159.6,7.9,3.5,7.4,4.1,6.9,5.96,5.96
44,168,157,157,163,148,158.6,158.6,7.9,3.6,7.4,4.1,6.9,5.98,5.98
45,154,169,157,162,161,160.6,160.6,7.9,3.6,7.4,4.1,7,6,6
46,157,163,160,159,154,158.6,158.6,7.9,3.6,7.4,4.1,7,6,6
47,165,151,160,151,154,156.2,156.2,7.9,3.6,7.4,4.1,7,6,6
48,157,148,160,163,148,155.2,155.2,7.9,3.6,7.4,4.1,7,6,6
49,163,163,163,160,154,160.6,160.6,7.9,3.7,7.5,4.1,7,6.04,6.04
50,166,160,157,151,154,157.6,157.6,8,3.7,7.5,4.1,7,6.06,6.06
51,171,154,158,148,143,154.8,154.8,8,3.1,7.5,4.1,7,5.94,5.94
52,151,160,157,163,154,157,157,8,3.1,7.5,4,7,5.92,5.92
53,166,163,148,162,158,159.4,159.4,8,3.1,7.5,4,7,5.92,5.92
54,163,157,157,166,150,158.6,158.6,8,3.1,6.9,4,6.4,5.68,5.68
55,157,159,160,157,162,159,159,8.1,3.2,7,4,6.4,5.74,5.74
56,154,163,148,166,151,156.4,156.4,7.4,3.2,7,4,6.4,5.6,5.6
57,160,160,158,163,156,159.4,159.4,7.4,3.2,7.1,4,6.4,5.62,5.62
58,142,162,160,157,162,156.6,156.6,7.4,3.2,7.1,4,6.5,5.64,5.64
59,162,157,163,148,156,157.2,157.2,7.4,3.2,7.1,4,6.5,5.64,5.64
