RECORD,T1,T2,T3,T4,T5,AVG,CPU_EWMA,T1,T2,T3,T4,T5,AVG,MEM_EWMA
1,28.5,62.8,44.1,40,75,50.08,50.08,5.8,5.8,5.6,5.6,5.8,5.72,5.72
2,38.2,32.3,41.1,45.7,47,40.86,40.86,6.1,5.9,5.7,5.7,5.8,5.84,5.84
3,31.4,76.4,65.7,31.4,74.2,55.82,55.82,6,6.1,5.7,6.1,5.9,5.96,5.96
4,35.1,162,41.1,35.2,100,74.68,74.68,6.2,6,6,5.9,5.6,5.94,5.94
5,34.2,150,54.5,41.1,88.5,73.66,73.66,6.3,6.4,6.1,6.1,5.9,6.16,6.16
6,108,108,105,30.5,140,98.3,98.3,6.4,6.5,6.2,6.2,6.2,6.3,6.3
7,88.5,105,38.2,30.5,129,78.24,78.24,6.5,6.5,6.3,6.3,6.3,6.38,6.38
8,118,139,44.1,27.7,88.2,83.4,83.4,6.5,6.8,6.3,6.3,6.2,6.42,6.42
9,105,47,39.3,35.2,105,66.3,66.3,6.7,6.8,6.3,5.2,6.3,6.26,6.26
10,128,45.7,51.5,41.1,38.8,61.02,61.02,6.7,5.9,6.6,5.4,6.6,6.24,6.24
11,34.2,47,52.9,38.2,36.1,41.68,41.68,6.3,5.8,6.8,5.4,6.3,6.12,6.12
12,31.4,57.1,55.8,26.1,27.9,39.66,39.66,6.5,5.8,6.8,6.4,5.8,6.26,6.26
13,38.2,47,54.2,27.7,37.1,40.84,40.84,6.6,6.2,6.9,6.5,5.7,6.38,6.38
14,44.1,55.8,47,38.2,32.3,43.48,43.48,6.2,6.2,7,6.4,5.7,6.3,6.3
15,47,48.4,50,41.1,47,46.7,46.7,6,6.4,7.1,6.5,5,6.2,6.2
16,48.5,38.2,70.5,44.4,52.9,50.9,50.9,5.7,6.5,7.2,5.8,5.3,6.1,6.1
17,41.6,51.4,38.2,47,45.7,44.78,44.78,5.7,6.6,7.6,6.1,5.4,6.28,6.28
18,41.1,55.8,38.2,35.2,44.1,42.88,42.88,6.1,6.5,7.5,5.2,5.5,6.16,6.16
19,47,35.2,117,35.2,58.8,58.64,58.64,6.1,6.1,5.2,4.9,5.6,5.58,5.58
20,52.9,54.2,50,38.2,50,49.06,49.06,6,5.6,5.3,5.2,5.9,5.6,5.6
21,60.6,58.8,54.5,130,38.2,68.42,68.42,6.2,5.7,5.6,5.3,6,5.76,5.76
22,61.7,127,45.7,123,41.1,79.7,79.7,6.3,5.9,5.5,5.4,6.1,5.84,5.84
23,52.9,148,50,138,61.7,90.12,90.12,6.4,6,5.7,5.4,6.3,5.96,5.96
24,52.9,140,38.2,140,123,98.82,98.82,6.5,6,6.1,5.3,6.2,6.02,6.02
25,51.5,132,41.1,58.8,138,84.28,84.28,6.5,6.2,6.2,5.5,6.3,6.14,6.14
26,54.2,158,50,51.4,123,87.32,87.32,6.5,6.3,6.1,5.6,6.3,6.16,6.16
27,57.5,169,47,51.4,123,89.58,89.58,7.1,6.4,6.5,5.6,6.3,6.38,6.38
28,55.8,158,38.2,57.5,132,88.3,88.3,7.1,6.4,6.6,5.8,6.7,6.52,6.52
29,50,132,45.4,58.8,128,82.84,82.84,7.2,6.7,6.4,5.9,6.8,6.6,6.6
30,60.6,123,42.4,50,126,80.4,80.4,7.4,6.9,6.9,6.1,6.8,6.82,6.82
31,57.5,144,47,52.9,50,70.28,70.28,7.6,6.9,6.8,6.2,7,6.9,6.9
32,54.5,141,42.4,55.8,117,82.14,82.14,7.6,6.9,6.7,4.7,7.2,6.62,6.62
33,63.6,126,57.5,50,117,82.82,82.82,7.8,7.3,6.8,4.6,7.2,6.74,6.74
34,66.6,138,42.4,41.1,102,78.02,78.02,7.9,7.3,6.9,4.9,7.3,6.86,6.86
