  bash arg: -p
  bash arg: com.google.android.apps.translate
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=48ms (0ms mobile, 0ms wifi, 48ms not connected)
Starting up the app... You have 5sec to configure it.
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,51.4,5.3,54725904,48212756,6513148,12,48,3667664,321080,1562868,1077952832,667,113,0,0,10,100,1494,47356
2,11336,112,5.0,54725904,48212756,6513148,12,48,3667664,357008,1587292,1077952832,814,141,0,0,10,99,1494,48637
3,14367,108,5.2,54725904,48212756,6513148,12,48,3667664,343196,1573860,1077952832,973,164,0,0,10,99,1494,48660
4,17375,111,5.2,54725904,48212756,6513148,12,48,3667664,332328,1563448,1077952832,1127,180,0,0,10,99,1494,49906
5,20458,116,5.3,54725904,48212756,6513148,12,48,3667664,334084,1523508,1077952832,1281,200,0,0,10,100,1494,48964
6,23498,138,5.4,54725904,48211460,6514444,12,48,3667664,336728,1587748,1077952832,1445,221,0,0,10,100,1494,52138
7,26550,126,5.7,54725904,48211460,6514444,12,48,3667664,331700,1583140,1077952832,1605,241,0,0,10,100,1494,51857
8,29607,111,5.7,54725904,48211452,6514452,12,48,3667664,297732,1557120,1077952832,1751,264,0,0,10,100,1494,51839
9,32580,78.7,5.7,54725904,48211372,6514532,12,48,3667664,295268,1597096,1077952832,1901,281,0,0,10,100,1494,52620
10,35596,105,5.7,54725904,48211372,6514532,12,48,3667664,284128,1592512,1077952832,2053,306,0,0,10,100,1494,51930
11,38651,114,5.7,54725904,48211372,6514532,12,48,3667664,281680,1588128,1077952832,2203,329,0,0,10,100,1494,57669
12,41707,117,6.3,54725904,48211376,6514528,12,48,3667664,274296,1549716,1077952832,2343,356,0,0,10,100,1494,58839
13,44737,106,6.3,54725904,48211376,6514528,12,48,3667664,283436,1581420,1077952832,2487,378,0,0,10,100,1494,57950
14,47738,130,6.3,54725904,48211376,6514528,12,48,3667664,278832,1576848,1077952832,2669,396,0,0,10,100,1494,59342
15,50772,105,6.4,54725904,48211316,6514588,12,48,3667664,281268,1578676,1077952832,2822,414,0,0,10,100,1494,58571
16,53762,85.2,6.4,54725904,48211372,6514532,12,48,3667664,293224,1563060,1077952832,2968,436,0,0,10,100,1494,59797
17,56793,108,6.4,54725904,48211372,6514532,12,48,3667664,289136,1587636,1077952832,3120,459,0,0,10,100,1494,64565
18,59839,44.1,7.0,54725904,48211372,6514532,12,48,3667664,290988,1589564,1077952832,3271,476,0,0,10,97,1494,64647
19,62877,41.6,6.9,54725904,48211340,6514564,12,48,3667664,198704,1441920,1077952832,3396,498,0,0,10,97,1494,64272
20,66061,52.9,7.2,54725904,48211332,6514572,12,48,3667664,289204,1495580,1077952832,3550,506,0,0,10,97,1494,66808
21,69038,50.0,7.4,54725904,48211320,6514584,12,48,3667664,285860,1492536,1077952832,3716,530,0,0,10,95,1494,69000
22,72077,44.1,7.6,54725904,48211320,6514584,12,48,3667664,281884,1490072,1077952832,3884,544,0,0,10,95,1494,70495
23,75103,50.0,7.6,54725904,48211312,6514592,12,48,3667664,260448,1450092,1077952832,4065,560,0,0,10,95,1494,70627
24,78080,47.0,7.6,54725904,48211312,6514592,12,48,3667664,276676,1477956,1077952832,4238,578,0,0,10,95,1494,70779
25,81098,47.0,7.9,54725904,48211312,6514592,12,48,3667664,270284,1471700,1077952832,4413,600,0,0,10,95,1494,74228
26,84189,42.8,8.3,54725904,48211324,6514580,12,48,3667664,273632,1475492,1077952832,4568,616,0,0,10,95,1494,74658
27,87193,52.9,8.2,54725904,48211320,6514584,12,48,3667664,280868,1454772,1077952832,4720,634,0,0,10,95,1494,75586
28,90215,61.7,8.4,54725904,48211320,6514584,12,48,3667664,293772,1497356,1077952832,4882,652,0,0,10,95,1494,77205
29,93277,52.9,8.5,54725904,48211320,6514584,12,48,3667664,288112,1491704,1077952832,5064,667,0,0,10,95,1494,77107
30,96330,47.0,8.7,54725904,48211320,6514584,12,48,3667664,283988,1487604,1077952832,5218,685,0,0,10,95,1494,78886
31,99371,44.1,8.9,54725904,48211316,6514588,12,48,3667664,270556,1445640,1077952832,5363,708,0,0,10,95,1494,80975
32,102412,45.4,8.9,54725904,48211316,6514588,12,48,3667664,262648,1466560,1077952832,5523,732,0,0,10,95,1494,81060
33,105451,60.6,9.1,54725904,48211312,6514592,12,48,3667664,301532,1463828,1077952832,5728,748,0,0,10,95,1494,79899
