  bash arg: -p
  bash arg: com.google.android.apps.translate
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=42ms (0ms mobile, 0ms wifi, 42ms not connected)
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,62.8,5.8,54725904,48941556,5784348,11,48,3667664,111276,1568112,1077952832,592,132,0,0,10,99,3743,53765
2,8058,32.3,5.9,54725904,48941440,5784464,11,48,3667664,319224,1546892,1077952832,712,153,0,0,10,98,3743,56348
3,11090,76.4,6.1,54725904,48913220,5812684,11,48,3667664,317732,1574376,1077952832,837,173,0,0,10,98,3743,55211
4,14381,162,6.0,54725904,48912980,5812924,11,48,3667664,275200,1602304,1077952832,974,193,0,0,10,98,3743,58424
5,17416,150,6.4,54725904,48912608,5813296,11,48,3667664,250748,1601640,1077952832,1115,213,0,0,10,98,3743,58324
6,20508,108,6.5,54725904,48912580,5813324,11,48,3667664,254148,1601228,1077952832,1282,233,0,0,10,98,3743,59056
7,23557,105,6.5,54725904,48912572,5813332,11,48,3667664,242264,1568684,1077952832,1440,252,0,0,10,98,3743,61529
8,26582,139,6.8,54725904,48912568,5813336,11,48,3667664,248672,1603840,1077952832,1598,274,0,0,10,98,3743,61641
9,29575,47.0,6.8,54725904,48912544,5813360,11,48,3667664,265432,1627652,1077952832,1763,295,0,0,10,98,3743,60599
10,32635,45.7,5.9,54725904,48912540,5813364,11,48,3667664,314412,1677784,1077952832,1910,312,0,0,10,98,3743,55119
11,35699,47.0,5.8,54725904,48912540,5813364,11,48,3667664,302240,1640088,1077952832,2075,323,0,0,10,97,3743,53681
12,38665,57.1,5.8,54725904,48912540,5813364,11,48,3667664,312952,1681508,1077952832,2231,346,0,0,10,97,3743,53751
13,41695,47.0,6.2,54725904,48912552,5813352,11,48,3667664,307212,1675776,1077952832,2384,374,0,0,10,97,3743,57664
14,44774,55.8,6.2,54725904,48912552,5813352,11,48,3667664,292524,1662068,1077952832,2530,399,0,0,10,97,3743,57859
15,47815,48.4,6.4,54725904,48912144,5813760,11,48,3667664,285156,1660800,1077952832,2682,421,0,0,10,97,3743,59164
16,50817,38.2,6.5,54725904,48912144,5813760,11,48,3667664,278964,1654684,1077952832,2843,445,0,0,10,97,3743,60714
17,53895,51.4,6.6,54725904,48912552,5813352,11,48,3667664,262240,1637984,1077952832,3014,466,0,0,10,97,3743,61028
18,56952,55.8,6.5,54725904,48912136,5813768,11,48,3667664,276312,1624968,1077952832,3171,486,0,0,10,97,3743,60625
19,59942,35.2,6.1,54725904,48912136,5813768,11,48,3667664,318540,1695904,1077952832,3341,500,0,0,10,95,3743,52067
