  bash arg: -p
  bash arg: com.google.android.apps.translate
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=39ms (0ms mobile, 0ms wifi, 39ms not connected)
Starting up the app... You have 5sec to configure it.
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,28.5,5.8,54725904,48237216,6488688,12,48,3667676,310924,1493856,1077952832,601,146,0,0,10,101,3701,53996
2,11042,38.2,6.1,54725904,48237080,6488824,12,48,3667676,340192,1587052,1077952832,735,164,0,0,10,99,3701,56739
3,14173,31.4,6.0,54725904,48236948,6488956,12,48,3667676,298564,1514420,1077952832,855,182,0,0,10,99,3701,56260
4,17317,35.1,6.2,54725904,48236952,6488952,12,48,3667676,240872,1527200,1077952832,975,196,0,0,10,99,3701,57219
5,20468,34.2,6.3,54725904,48241736,6484168,12,48,3667676,174160,1519860,1077952832,1084,209,0,0,10,99,3701,57799
6,23627,108,6.4,54725904,48236856,6489048,12,48,3667676,174728,1522232,1077952832,1204,221,0,0,10,99,3701,58953
7,26626,88.5,6.5,54725904,48236792,6489112,12,48,3667676,156720,1548380,1077952832,1306,243,0,0,10,99,3701,59920
8,29714,118,6.5,54725904,48236820,6489084,12,48,3667676,152304,1538372,1077952832,1480,257,0,0,10,99,3701,61076
9,32806,105,6.7,54725904,48236664,6489240,12,48,3667676,140872,1538612,1077952832,1606,272,0,0,10,99,3701,61706
10,35868,128,6.7,54725904,48227988,6497916,12,48,3667676,132752,1507428,1077952832,1769,305,0,0,10,105,3701,57533
11,38938,34.2,6.3,54725904,48208548,6517356,12,48,3667676,139024,1502864,1077952832,1891,324,0,0,10,99,3701,59175
