  bash arg: -p
  bash arg: com.google.android.apps.translate
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=43ms (0ms mobile, 0ms wifi, 43ms not connected)
Starting up the app... You have 5sec to configure it.
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,91.4,6.3,54725904,48118356,6607548,13,48,3667664,335596,1563244,1077952832,926,147,0,0,10,91,3697,57770
2,11078,152,6.3,54725904,48118356,6607548,13,48,3667664,324592,1581996,1077952832,1101,165,0,0,10,90,3697,57229
3,14145,88.2,6.5,54725904,48118344,6607560,13,48,3667664,357692,1615720,1077952832,1283,180,0,0,10,91,3697,58913
4,17184,44.1,7.0,54725904,48118344,6607560,13,48,3667664,357700,1615944,1077952832,1436,198,0,0,10,91,3697,63880
5,20168,108,7.1,54725904,48118344,6607560,13,48,3667664,350708,1581236,1077952832,1582,224,0,0,10,91,3697,65536
6,23220,48.4,7.3,54725904,48118344,6607560,13,48,3667664,346236,1605476,1077952832,1729,244,0,0,10,91,3697,66298
7,26258,50.0,7.4,54725904,48118344,6607560,13,48,3667664,340264,1599616,1077952832,1883,266,0,0,10,91,3697,66703
8,29300,38.2,7.4,54725904,48118352,6607552,13,48,3667664,362672,1593604,1077952832,2021,280,0,0,10,91,3697,68980
9,32323,50.0,7.4,54725904,48118352,6607552,13,48,3667664,356896,1616504,1077952832,2151,301,0,0,10,91,3697,68978
10,35328,50.0,7.6,54725904,48118352,6607552,13,48,3667664,351164,1611068,1077952832,2331,319,0,0,10,91,3697,70561
11,38337,47.0,7.6,54725904,48118352,6607552,13,48,3667664,346868,1606780,1077952832,2493,345,0,0,10,91,3697,70199
