  bash arg: -p
  bash arg: com.google.android.apps.translate
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=39ms (0ms mobile, 0ms wifi, 39ms not connected)
Starting up the app... You have 5sec to configure it.
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,40.0,5.7,54725904,48145632,6580272,13,48,3667664,357572,1494604,1077952832,561,122,0,0,10,100,1510,52768
2,10962,28.2,5.9,54725904,48146108,6579796,13,48,3667664,314152,1463436,1077952832,685,145,0,0,10,99,1510,53509
3,14072,37.1,5.8,54725904,48145852,6580052,13,48,3667664,333064,1577456,1077952832,798,164,0,0,10,99,1510,53843
4,17181,35.2,6.0,54725904,48145652,6580252,13,48,3667664,305364,1496396,1077952832,931,182,0,0,10,99,1510,56923
5,20239,28.5,6.2,54725904,48145664,6580240,13,48,3667664,215328,1528004,1077952832,1009,200,0,0,10,99,1510,56407
6,23261,38.2,6.4,54725904,48147024,6578880,13,48,3667664,185808,1555968,1077952832,1125,217,0,0,10,99,1510,58796
7,26259,32.4,6.5,54725904,48145568,6580336,13,48,3667664,188844,1570480,1077952832,1252,234,0,0,10,99,1510,59574
8,29308,32.3,6.4,54725904,48145496,6580408,13,48,3667664,150388,1514304,1077952832,1344,244,0,0,10,99,1510,59020
9,32281,35.1,6.5,54725904,48145392,6580512,13,48,3667664,146120,1527224,1077952832,1448,258,0,0,10,99,1510,60162
10,35279,38.2,6.7,54725904,48145368,6580536,13,48,3667664,141988,1531444,1077952832,1621,274,0,0,10,99,1510,61254
11,38270,128,6.8,54725904,48126084,6599820,13,48,3667664,104284,1529476,1077952832,1787,299,0,0,10,106,1510,56676
12,41292,41.1,6.1,54725904,48118288,6607616,13,48,3667664,99064,1497372,1077952832,1895,318,0,0,10,100,1510,54513
13,44533,27.0,6.0,54725904,48117836,6608068,13,48,3667664,122716,1542688,1077952832,1995,337,0,0,10,100,1510,55443
14,47612,34.2,6.0,54725904,48117692,6608212,13,48,3667664,97016,1514552,1077952832,2107,348,0,0,10,100,1510,55433
15,50638,38.2,6.1,54725904,48120468,6605436,13,48,3667664,78636,1505188,1077952832,2243,368,0,0,10,100,1510,51244
16,53612,35.8,5.4,54725904,48118460,6607444,13,48,3667664,121724,1542620,1077952832,2377,386,0,0,10,100,1510,49981
17,56701,42.4,5.5,54725904,48118460,6607444,13,48,3667664,111884,1533132,1077952832,2510,408,0,0,10,100,1510,51305
18,59724,41.1,5.8,54725904,48118460,6607444,13,48,3667664,106280,1528152,1077952832,2636,423,0,0,10,97,1510,53276
19,62688,58.8,5.9,54725904,48117664,6608240,13,48,3667664,124008,1564328,1077952832,2782,442,0,0,10,95,1510,55327
20,65740,47.0,6.0,54725904,48117620,6608284,13,48,3667664,84996,1506060,1077952832,2963,464,0,0,10,95,1510,54779
21,69125,61.7,5.7,54725904,48117608,6608296,13,48,3667664,150920,1521544,1077952832,3142,480,0,0,10,95,1510,53022
22,72174,63.6,5.9,54725904,48117568,6608336,13,48,3667664,160900,1533900,1077952832,3317,491,0,0,10,95,1510,54120
23,75219,50.0,6.0,54725904,48117568,6608336,13,48,3667664,169536,1502292,1077952832,3481,511,0,0,10,95,1510,54313
24,78235,54.5,6.1,54725904,48128996,6596908,13,48,3667664,173668,1559572,1077952832,3658,535,0,0,10,95,1510,56469
25,81237,57.5,6.2,54725904,48118864,6607040,13,48,3667664,176020,1563220,1077952832,3833,556,0,0,10,95,1510,57101
26,84207,55.8,6.4,54725904,48118864,6607040,13,48,3667664,171692,1535508,1077952832,3999,575,0,0,10,95,1510,58962
27,87252,52.7,6.5,54725904,48118864,6607040,13,48,3667664,191476,1549208,1077952832,4167,598,0,0,10,95,1510,59840
28,90299,55.8,6.5,54725904,48118864,6607040,13,48,3667664,185612,1543864,1077952832,4339,614,0,0,10,95,1510,60036
29,93345,55.8,6.6,54725904,48118856,6607048,13,48,3667664,191332,1539764,1077952832,4493,629,0,0,10,95,1510,60774
30,96345,47.5,6.8,54725904,48117568,6608336,13,48,3667664,221392,1538636,1077952832,4643,644,0,0,10,95,1510,62946
31,99386,47.0,7.0,54725904,48117560,6608344,13,48,3667664,205676,1584612,1077952832,4825,670,0,0,10,95,1510,65079
32,102462,57.5,7.1,54725904,48117560,6608344,13,48,3667664,179868,1575540,1077952832,4972,692,0,0,10,95,1510,64070
33,105476,41.1,7.2,54725904,48117480,6608424,13,48,3667664,180764,1598232,1077952832,5111,717,0,0,10,95,1510,66369
34,108531,47.0,7.3,54725904,48117484,6608420,13,48,3667664,167152,1556740,1077952832,5251,741,0,0,10,95,1510,67590
35,111600,50.0,7.5,54725904,48117484,6608420,13,48,3667664,153836,1579440,1077952832,5410,767,0,0,10,95,1510,68934
36,114677,50.0,7.6,54725904,48117484,6608420,13,48,3667664,148736,1574348,1077952832,5572,782,0,0,10,95,1510,69768
37,117728,52.9,7.6,54725904,48117484,6608420,13,48,3667664,148972,1570480,1077952832,5738,797,0,0,10,95,1510,70482
38,120797,61.7,7.9,54725904,48117484,6608420,13,48,3667664,145932,1566436,1077952832,5903,812,0,0,10,86,1510,73095
39,123855,50.0,6.6,54725904,48117484,6608420,13,48,3667664,211828,1628984,1077952832,6100,835,0,0,10,88,1510,58601
40,126898,52.9,4.9,54725904,48117464,6608440,13,48,3667664,258088,1675344,1077952832,6269,855,0,0,10,88,1510,45411
41,129963,44.1,4.9,54725904,48117464,6608440,13,48,3667664,233308,1629156,1077952832,6437,877,0,0,10,88,1510,45464
42,133042,52.9,5.0,54725904,48117464,6608440,13,48,3667664,232420,1657156,1077952832,6625,896,0,0,10,88,1510,46436
43,136098,48.4,5.2,54725904,48117464,6608440,13,48,3667664,229000,1654264,1077952832,6803,916,0,0,10,88,1510,48742
44,139078,50.0,4.9,54725904,48117460,6608444,13,48,3667664,243856,1669420,1077952832,6999,937,0,0,10,88,1510,41378
45,142147,155,4.6,54725904,48117460,6608444,13,48,3667664,228888,1625840,1077952832,7207,954,0,0,10,88,1510,44271
