  bash arg: -p
  bash arg: com.google.android.apps.translate
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=51ms (0ms mobile, 0ms wifi, 51ms not connected)
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,125,5.3,54725904,48938460,5787444,11,48,3667664,104456,1537144,1077952832,545,121,0,0,10,102,3812,51932
2,8048,129,5.7,54725904,48938160,5787744,11,48,3667664,323588,1594464,1077952832,688,134,0,0,10,101,3812,53918
3,11240,30.5,5.9,54725904,48937908,5787996,11,48,3667664,311144,1554828,1077952832,808,148,0,0,10,100,3812,53233
4,14270,37.8,6.0,54725904,48937884,5788020,11,48,3667664,267976,1566588,1077952832,943,166,0,0,10,100,3812,53452
5,17309,32.3,6.0,54725904,48937720,5788184,11,48,3667664,186504,1574112,1077952832,1052,184,0,0,10,100,3812,54245
6,20276,41.6,6.1,54725904,48937608,5788296,11,48,3667664,150044,1597092,1077952832,1165,207,0,0,10,100,3812,54573
7,23308,47.2,6.0,54725904,48937576,5788328,11,48,3667664,105292,1537316,1077952832,1286,221,0,0,10,100,3812,58620
8,26340,30.5,6.7,54725904,48937540,5788364,11,48,3667664,105228,1552500,1077952832,1395,240,0,0,10,100,3812,60937
9,29339,40.0,6.8,54725904,48937456,5788448,11,48,3667664,107236,1571868,1077952832,1515,252,0,0,10,100,3812,61424
10,32379,74.3,6.2,54725904,48937228,5788676,11,48,3667664,99352,1594872,1077952832,1683,274,0,0,10,100,3812,53281
11,35499,41.1,5.9,54725904,48908880,5817024,11,48,3667664,78996,1585400,1077952832,1853,293,0,0,10,100,3812,55394
12,38628,37.8,6.0,54725904,48908472,5817432,11,48,3667664,85856,1568064,1077952832,1998,314,0,0,10,100,3812,56428
13,41725,25.7,6.0,54725904,48908392,5817512,11,48,3667664,80972,1530396,1077952832,2096,338,0,0,10,100,3812,58131
14,44763,32.3,6.1,54725904,48908292,5817612,11,48,3667664,92560,1536272,1077952832,2217,358,0,0,10,100,3812,57455
15,47776,44.1,6.1,54725904,48908280,5817624,11,48,3667664,92356,1567448,1077952832,2361,380,0,0,10,100,3812,57172
16,50774,50.0,6.1,54725904,48908276,5817628,11,48,3667664,95848,1574996,1077952832,2523,406,0,0,10,100,3812,60194
17,53803,41.1,6.4,54725904,48908232,5817672,11,48,3667664,87756,1566040,1077952832,2680,433,0,0,10,100,3812,62004
18,56851,35.2,6.6,54725904,48908232,5817672,11,48,3667664,106944,1555508,1077952832,2819,453,0,0,10,99,3812,62214
19,59947,35.2,6.0,54725904,48908260,5817644,11,48,3667664,137116,1614780,1077952832,2963,477,0,0,10,97,3812,56337
20,62921,144,5.4,54725904,48908232,5817672,11,48,3667664,166800,1644732,1077952832,3125,502,0,0,10,97,3812,48861
21,65980,147,5.4,54725904,48908228,5817676,11,48,3667664,153292,1633336,1077952832,3282,526,0,0,10,97,3812,53028
22,69037,138,5.8,54725904,48908228,5817676,11,48,3667664,146088,1597252,1077952832,3423,548,0,0,10,97,3812,54246
23,72075,161,5.9,54725904,48907824,5818080,11,48,3667664,145292,1631212,1077952832,3597,562,0,0,10,97,3812,54577
24,75128,182,6.0,54725904,48907824,5818080,11,48,3667664,130240,1616168,1077952832,3765,582,0,0,10,97,3812,54289
25,78144,141,5.9,54725904,48907852,5818052,11,48,3667664,117576,1576308,1077952832,3931,603,0,0,10,97,3812,56803
26,81183,154,6.2,54725904,48907820,5818084,11,48,3667664,126820,1615200,1077952832,4099,617,0,0,10,97,3812,59461
27,84166,64.7,6.5,54725904,48988736,5737168,11,48,3667664,109756,1615276,1077952832,4270,638,0,0,10,97,3812,59910
28,87163,66.6,6.2,54725904,48910312,5815592,11,48,3667664,109116,1641180,1077952832,4442,666,0,0,10,97,3812,57362
29,90176,57.1,6.5,54725904,48909112,5816792,11,48,3667664,112716,1634704,1077952832,4613,681,0,0,10,97,3812,59854
30,93205,54.2,6.5,54725904,48909112,5816792,11,48,3667664,105240,1657912,1077952832,4793,694,0,0,10,97,3812,60497
31,96264,50.0,6.6,54725904,48909108,5816796,11,48,3667664,103928,1656676,1077952832,4969,714,0,0,10,97,3812,61097
