  bash arg: -p
  bash arg: com.google.android.apps.translate
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=41ms (0ms mobile, 0ms wifi, 41ms not connected)
Starting up the app... You have 5sec to configure it.
TRIAL,ELAPSED_TIME_MS,CPU_PERC,MEM_PERC, EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB, TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB, FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,,145,5.7,54725904,48142368,6583536,13,48,3667664,294224,1585920,1077952832,719,122,0,0,10,99,3744,54511
2,11368,141,5.8,54725904,48142292,6583612,13,48,3667664,275148,1554144,1077952832,837,141,0,0,10,98,3744,54242
3,14459,86.4,5.9,54725904,48142268,6583636,13,48,3667664,283292,1508028,1077952832,945,162,0,0,10,98,3744,55887
4,17525,116,6.1,54725904,48142232,6583672,13,48,3667664,258128,1545388,1077952832,1066,181,0,0,10,98,3744,56010
5,20525,214,6.9,54725904,48142216,6583688,13,48,3667664,297008,1589984,1077952832,1217,213,0,0,10,104,3744,58404
6,23595,85.2,6.5,54725904,48142120,6583784,13,48,3667664,273580,1512156,1077952832,1319,229,0,0,10,98,3744,57928
7,26619,88.5,6.1,54725904,48114000,6611904,13,48,3667664,218684,1501644,1077952832,1422,251,0,0,10,98,3744,56836
8,29682,26.8,6.4,54725904,48113912,6611992,13,48,3667664,215260,1521352,1077952832,1544,276,0,0,10,98,3744,59038
9,32933,58.8,6.5,54725904,48113548,6612356,13,48,3667664,221192,1547336,1077952832,1672,294,0,0,10,98,3744,60223
10,35932,64.7,6.4,54725904,48113536,6612368,13,48,3667664,209052,1536452,1077952832,1870,313,0,0,10,98,3744,59752
11,38994,47.0,6.7,54725904,48115132,6610772,13,48,3667664,197956,1528816,1077952832,2021,333,0,0,10,98,3744,62560
12,42007,47.0,6.8,54725904,48114324,6611580,13,48,3667664,217052,1536944,1077952832,2162,350,0,0,10,98,3744,62775
13,44993,50.0,7.0,54725904,48114324,6611580,13,48,3667664,228744,1549624,1077952832,2316,369,0,0,10,98,3744,64961
14,47987,44.1,7.1,54725904,48113528,6612376,13,48,3667664,232316,1575032,1077952832,2463,389,0,0,10,97,3744,65428
15,50946,47.0,7.3,54725904,48113528,6612376,13,48,3667664,213068,1538168,1077952832,2614,409,0,0,10,97,3744,67628
16,53950,55.8,7.3,54725904,48113528,6612376,13,48,3667664,184752,1556488,1077952832,2773,435,0,0,10,97,3744,67275
17,56982,52.9,7.3,54725904,48113528,6612376,13,48,3667664,181956,1547408,1077952832,2925,453,0,0,10,97,3744,67574
18,60029,41.1,7.5,54725904,48113524,6612380,13,48,3667664,184124,1524036,1077952832,3088,474,0,0,10,95,3744,69364
19,63019,66.6,7.8,54725904,48113524,6612380,13,48,3667664,186652,1556528,1077952832,3266,494,0,0,10,93,3744,70438
20,66048,63.6,7.4,54725904,48116016,6609888,13,48,3667664,180716,1574852,1077952832,3442,522,0,0,10,93,3744,70000
21,69064,58.8,7.5,54725904,48114820,6611084,13,48,3667664,168660,1566144,1077952832,3610,544,0,0,10,93,3744,69095
