
--------------------------------------------------------------------------------
    MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------


--------------------------------------------------------------------------------
    MAR SECURITY - TESTING APPLICATION: mugtracker2D_v1
--------------------------------------------------------------------------------

Application output directory created at: output/mugtracker2D_v1
Output will be written to file: sanityCheck2D.2019-11-11.193847.csv

Running test script with params: 
	 Application package name: 		 edu.temple.attack_prototypes.vuforia.v1_2d
	 Application local name: 		 mugtracker2D_v1
	 Run time (min): 			 10
	 Data collection interval (seconds): 	 5
	 Total number of trials: 		 120
	 Reading from image directory: 		 /Users/slehr/Projects/MAR_Security/scripts/imgs
	 Reading from image file list: 		 sanityCheck2D

  bash arg: -p
  bash arg: edu.temple.attack_prototypes.vuforia.v1_2d
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=40ms (0ms mobile, 0ms wifi, 40ms not connected)

--------------------------------------------------------------------------------

App PID: 9590
Trial start time (ms): 1573519127181

TRIAL,ELAPSED_TIME_MS,IMG_FILE,CPU_PERC,MEM_PERC,EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB,TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB,FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
1,11566,blank.png,56.6,6.2,54725904,50591988,4133916,8,1280,3667952,157780,1391872,1077952832,4127,600,0,1,10,78,12165,57656
2,2745,blank.png,58.6,6.2,54725904,50591884,4134020,8,1384,3667952,155616,1390040,1077952832,4260,629,0,1,10,78,12165,57449
3,2743,blank.png,58.6,6.2,54725904,50591884,4134020,8,1384,3667952,153976,1388408,1077952832,4392,653,0,1,10,78,12165,57586
4,2755,blank.png,56.6,6.2,54725904,50591884,4134020,8,1384,3667952,154472,1389240,1077952832,4523,678,0,1,10,78,12165,57656
5,2740,blank.png,56.6,6.3,54725904,50591884,4134020,8,1384,3667952,154236,1389020,1077952832,4672,684,0,1,10,78,12165,57720
6,2737,blank.png,56.6,6.2,54725904,50591776,4134128,8,1488,3667952,151592,1386588,1077952832,4810,708,0,1,10,78,12165,57801
7,2747,blank.png,56.6,6.3,54725904,50591776,4134128,8,1488,3667952,151372,1386376,1077952832,4935,735,0,1,10,78,12165,57787
8,2734,blank.png,53.3,6.2,54725904,50591776,4134128,8,1488,3667952,150364,1385368,1077952832,5076,755,0,1,10,78,12165,57957
9,2732,blank.png,86.6,6.3,54725904,50591672,4134232,8,1592,3667952,147812,1382928,1077952832,5224,771,0,1,10,76,12165,58267
10,2747,blank.png,56.6,6.3,54725904,50591672,4134232,8,1592,3667952,146992,1382108,1077952832,5362,789,0,1,10,76,12165,58296
11,2730,blank.png,53.3,6.3,54725904,50591672,4134232,8,1592,3667952,148968,1384092,1077952832,5495,811,0,1,10,76,12165,58365
12,2724,blank.png,56.6,6.3,54725904,50591672,4134232,8,1592,3667952,153676,1389084,1077952832,5631,828,0,1,10,76,12165,58409
13,2762,blank.png,53.3,6.3,54725904,50591568,4134336,8,1696,3667952,151552,1387172,1077952832,5772,849,0,1,10,76,12165,58263
14,2747,blank.png,54.8,6.3,54725904,50591568,4134336,8,1696,3667952,149724,1385344,1077952832,5906,870,0,1,10,76,12165,58476
15,2748,blank.png,56.6,6.3,54725904,50591568,4134336,8,1696,3667952,151428,1387048,1077952832,6044,887,0,1,10,76,12165,58335
16,2748,blank.png,54.8,6.3,54725904,50591568,4134336,8,1696,3667952,152920,1388640,1077952832,6175,909,0,1,10,76,12165,58354
17,2750,blank.png,53.3,5.9,54725904,50591464,4134440,8,1800,3667952,161264,1397088,1077952832,6330,939,0,1,10,76,12165,54515
18,2758,blank.png,54.8,5.9,54725904,50591464,4134440,8,1800,3667952,160908,1396732,1077952832,6464,961,0,1,10,76,12165,55241
19,2742,blank.png,53.3,6.0,54725904,50591464,4134440,8,1800,3667952,160428,1396260,1077952832,6598,980,0,1,10,77,12165,55294
20,2716,blank.png,90.0,6.0,54725904,50591360,4134544,8,1904,3667952,158872,1394860,1077952832,6742,1000,0,1,10,77,12165,55535
21,2729,blank.png,56.6,6.0,54725904,50591360,4134544,8,1904,3667952,158540,1394536,1077952832,6873,1021,0,1,10,77,12165,55294
22,2755,blank.png,58.0,6.0,54725904,50591360,4134544,8,1904,3667952,158604,1394608,1077952832,7002,1048,0,1,10,77,12165,55504
23,2760,blank.png,51.6,6.0,54725904,50591360,4134544,8,1904,3667952,156972,1392992,1077952832,7141,1063,0,1,10,77,12165,55533
24,2779,blank.png,51.6,6.0,54725904,50591256,4134648,8,2008,3667952,153052,1389184,1077952832,7290,1078,0,1,10,77,12165,55524
